State,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
S06,Rajkot,10,KUNDARIA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,KAGATHARA LALITBHAI,Indian National Congress,246428,Result Declared,KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party
S06,Sabarkantha,5,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,THAKOR RAJENDRASINH SHIVSINH,Indian National Congress,84455,Result Declared,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party
S06,Surat,24,Darshana Vikram Jardosh,Bharatiya Janata Party,Ashok Patel (Adhevada),Indian National Congress,533190,Result Declared,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party
S06,Surendranagar,9,Dr. MUNJAPARA MAHENDRABHAI,Bharatiya Janata Party,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,202907,Result Declared,FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party
S06,Vadodara,20,RANJANBEN BHATT,Bharatiya Janata Party,PRASHANT PATEL (TIKO),Indian National Congress,570128,Result Declared,NARENDRA MODI,Bharatiya Janata Party
S06,Valsad,26,Dr.K.C.PATEL,Bharatiya Janata Party,CHAUDHARI JITUBHAI HARJIBHAI,Indian National Congress,208004,Result Declared,DR. K.C.PATEL,Bharatiya Janata Party
S27,Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,GHURAN RAM,Rashtriya Janata Dal,263942,Result Declared,VISHNU DAYAL RAM,Bharatiya Janata Party
S27,Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,HEMLAL MURMU,Bharatiya Janata Party,41337,Result Declared,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha
S27,Ranchi,8,SANJAY SETH,Bharatiya Janata Party,SUBODH KANT SAHAY,Indian National Congress,199303,Result Declared,RAM TAHAL CHOUDHARY,Bharatiya Janata Party
S27,Singhbhum,10,GEETA KORA,Indian National Congress,LAXMAN GILUWA,Bharatiya Janata Party,87524,Result Declared,LAXMAN GILUWA,Bharatiya Janata Party
S10,Chikkballapur,27,B.N.Bache Gowda,Bharatiya Janata Party,M.Veerappa Moily,Indian National Congress,9520,Result Declared,M VEERAPPA MOILY,Indian National Congress
S10,Chikkodi,1,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,PRAKASH BABANNA HUKKERI,Indian National Congress,3003,Result Declared,PRAKASH BABANNA HUKKERI,Indian National Congress
S10,Chitradurga,18,A NARAYANASWAMY,Bharatiya Janata Party,B N CHANDRAPPA,Indian National Congress,101291,Result Declared,B.N.CHANDRAPPA,Indian National Congress
S10,Dakshina Kannada,17,NALIN KUMAR KATEEL,Bharatiya Janata Party,MITHUN M RAI,Indian National Congress,143709,Result Declared,NALIN KUMAR KATEEL,Bharatiya Janata Party
S10,Davanagere,13,G M SIDDESHWAR,Bharatiya Janata Party,H B MANJAPPA,Indian National Congress,17607,Result Declared,G M SIDDESHWARA,Bharatiya Janata Party
S10,Dharwad,11,Pralhad Joshi,Bharatiya Janata Party,Vinay Kulkarni,Indian National Congress,113657,Result Declared,PRALHAD JOSHI,Bharatiya Janata Party
S10,Gulbarga,5,DR. UMESH G JADHAV,Bharatiya Janata Party,MALLIKARJUN KHARGE,Indian National Congress,74733,Result Declared,MALLIKARJUN KHARGE,Indian National Congress
S10,Hassan,16,PRAJWAL REVANNA,Janata Dal  (Secular),MANJU A,Bharatiya Janata Party,100462,Result Declared,H.D. DEVEGOWDA,Janata Dal  (Secular)
S10,Haveri,10,UDASI. S.C.,Bharatiya Janata Party,D.R. PATIL,Indian National Congress,87571,Result Declared,UDASI SHIVAKUMAR CHANNABASAPPA,Bharatiya Janata Party
S10,Kolar,28,S. MUNISWAMY,Bharatiya Janata Party,K.H. MUNIYAPPA,Indian National Congress,47850,Result Declared,K.H.MUNIYAPPA,Indian National Congress
S10,Koppal,8,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,K.RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,32414,Result Declared,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party
S10,Mandya,20,SUMALATHA AMBAREESH,Independent,NIKHIL KUMARASWAMY,Janata Dal  (Secular),5518,Result Declared,C.S.PUTTARAJU,Janata Dal  (Secular)
S10,Mysore,21,PRATHAP SIMHA,Bharatiya Janata Party,C.H.VIJAYASHANKAR,Indian National Congress,31608,Result Declared,PRATHAP SIMHA,Bharatiya Janata Party
S10,Raichur,6,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,B. V NAIK,Indian National Congress,1499,Result Declared,B.V.NAYAK,Indian National Congress
S10,Shimoga,14,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,S.MADHUBANGARAPPA,Janata Dal  (Secular),363305,Result Declared,B. S. YEDDYURAPPA,Bharatiya Janata Party
S10,Tumkur,19,G. S. BASAVARAJ,Bharatiya Janata Party,H. D. DEVEGOWDA,Janata Dal  (Secular),74041,Result Declared,MUDDAHANUMEGOWDA.S.P.,Indian National Congress
S10,Udupi Chikmagalur,15,SHOBHA KARANDLAJE,Bharatiya Janata Party,PRAMOD MADHWARAJ,Janata Dal  (Secular),181643,Result Declared,SHOBHA KARANDLAJE,Bharatiya Janata Party
S10,Uttara Kannada,12,ANANTKUMAR HEGDE,Bharatiya Janata Party,ANAND ASNOTIKAR,Janata Dal  (Secular),140700,Result Declared,ANANTKUMAR HEGDE,Bharatiya Janata Party
S11,Kozhikode,5,M.K.RAGHAVAN,Indian National Congress,A.PRADEEP KUMAR,Communist Party of India  (Marxist),16883,Result Declared,M .K RAGHAVAN,Indian National Congress
S11,Malappuram,6,P.K. Kunhalikutty,Indian Union Muslim League,V.P. Sanu,Communist Party of India  (Marxist),194739,Result Declared,E. AHAMED,Indian Union Muslim League
S11,Mavelikkara ,16,KODIKUNNIL SURESH,Indian National Congress,CHITTAYAM GOPAKUMAR,Communist Party of India,32737,Result Declared,KODIKUNNIL SURESH,Indian National Congress
S11,Palakkad,8,V K SREEKANDAN,Indian National Congress,M B RAJESH,Communist Party of India  (Marxist),105300,Result Declared,M B RAJESH,Communist Party of India  (Marxist)
S11,Pathanamthitta,17,ANTO ANTONY,Indian National Congress,VEENA GEORGE,Communist Party of India  (Marxist),56191,Result Declared,ANTO ANTONY,Indian National Congress
S11,Ponnani,7,E. T. Mohammed Basheer,Indian Union Muslim League,P.V. Anvar Puthan Veetil,Independent,25410,Result Declared,E. T. MOHAMMED BASHEER,Indian Union Muslim League
S11,Thiruvananthapuram,20,Dr. SHASHI THAROOR,Indian National Congress,KUMMANAM RAJASEKHARAN,Bharatiya Janata Party,15470,Result Declared,DR. SHASHI THAROOR,Indian National Congress
S11,Thrissur,10,T. N. PRATHAPAN,Indian National Congress,RAJAJI MATHEW THOMAS,Communist Party of India,38227,Result Declared,C. N. JAYADEVAN,Communist Party of India
S11,Vadakara,3,K. MURALEEDHARAN,Indian National Congress,P.JAYARAJAN,Communist Party of India  (Marxist),3306,Result Declared,MULLAPPALLY RAMACHANDRAN,Indian National Congress
S11,Wayanad,4,Rahul Gandhi,Indian National Congress,P.P. Suneer,Communist Party of India,20870,Result Declared,M I SHANAVAS,Indian National Congress
S12,HOSHANGABAD,17,UDAY PRATAP SINGH,Bharatiya Janata Party,SHAILENDRA DIWAN CHANDARBHAN SINGH,Indian National Congress,389960,Result Declared,UDAY PRATAP SINGH,Bharatiya Janata Party
S12,INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,PANKAJ SANGHVI,Indian National Congress,466901,Result Declared,SUMITRA MAHAJAN (TAI),Bharatiya Janata Party
S12,JABALPUR,13,RAKESH SINGH,Bharatiya Janata Party,Pt. VIVEK KRISHNA TANKHA,Indian National Congress,208639,Result Declared,RAKESH SINGH,Bharatiya Janata Party
S12,KHAJURAHO,8,V.D. SHARMA (VISHNU DATT SHARMA),Bharatiya Janata Party,MAHARANI KAVITA SINGH NATIRAJA,Indian National Congress,247490,Result Declared,NAGENDRA SINGH,Bharatiya Janata Party
S12,KHANDWA,28,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,259714,Result Declared,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party
S12,KHARGONE,27,GAJENDRA UMRAO SINGH PATEL,Bharatiya Janata Party,DR. GOVIND SUBHAN MUJALDA,Indian National Congress,257879,Result Declared,SUBHASH PATEL,Bharatiya Janata Party
S12,MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,KAMAL SINGH MARAVI,Indian National Congress,110469,Result Declared,FAGGAN SINGH KULASTE,Bharatiya Janata Party
S12,MANDSOUR,23,Sudheer Gupta,Bharatiya Janata Party,Meenakshi Natarajan,Indian National Congress,303649,Result Declared,SUDHIR GUPTA,Bharatiya Janata Party
S12,MORENA,1,NARENDRA SINGH TOMAR,Bharatiya Janata Party,RAMNIWAS RAWAT,Indian National Congress,132981,Result Declared,ANOOP MISHRA,Bharatiya Janata Party
S12,RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,MONA SUSTANI,Indian National Congress,228737,Result Declared,RODMAL NAGAR,Bharatiya Janata Party
S12,RATLAM,24,GUMAN SINGH DAMOR,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,108457,Result Declared,DILEEPSINGH BHURIA,Bharatiya Janata Party
S12,REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,"SIDDHARTH TIWARI ""RAJ""",Indian National Congress,168726,Result Declared,JANARDAN MISHRA,Bharatiya Janata Party
S12,SAGAR,5,RAJBAHADUR SINGH,Bharatiya Janata Party,PRABHU SINGH THAKUR,Indian National Congress,120737,Result Declared,LAXMI NARAYAN YADAV,Bharatiya Janata Party
S12,SATNA,9,GANESH SINGH,Bharatiya Janata Party,RAJARAM TRIPATHI,Indian National Congress,8688,Result Declared,GANESH SINGH,Bharatiya Janata Party
S12,SHAHDOL,12,HIMADRI SINGH,Bharatiya Janata Party,PRAMILA SINGH,Indian National Congress,241301,Result Declared,DALPAT SINGH PARASTE,Bharatiya Janata Party
S12,SIDHI,11,Riti Pathak,Bharatiya Janata Party,Ajay Arjun Singh,Indian National Congress,108046,Result Declared,RITI PATHAK,Bharatiya Janata Party
S12,TIKAMGARH,6,Dr Virendra Kumar,Bharatiya Janata Party,Ahirwar Kiran,Indian National Congress,208731,Result Declared,DR. VIRENDRA KUMAR,Bharatiya Janata Party
S12,UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,BABULAL MALVIYA,Indian National Congress,309663,Result Declared,PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party
S12,VIDISHA,18,Ramakant Bhargava,Bharatiya Janata Party,Shailendra Rameshchandra Patel,Indian National Congress,410698,Result Declared,SUSHMA SWARAJ,Bharatiya Janata Party
S13,Dhule,2,Bhamre Subhash Ramrao,Bharatiya Janata Party,Kunalbaba Rohidas Patil,Indian National Congress,130723,Result Declared,DR. BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party
S13,Dindori ,20,Dr. Bharati Pravin Pawar,Bharatiya Janata Party,Dhanraj Haribhau Mahale,Nationalist Congress Party,247619,Result Declared,CHAVAN HARISHCHANDRA DEORAM,Bharatiya Janata Party
S13,Gadchiroli-Chimur,12,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,Dr. NAMDEO DALLUJI USENDI,Indian National Congress,236870,Result Declared,ASHOK MAHADEORAO NETE,Bharatiya Janata Party
S13,Hatkanangle,48,Dhairyasheel Sambhajirao Mane,Shivsena,Raju Anna Shetti,Swabhimani Paksha,177810,Result Declared,RAJU SHETTY,Swabhimani Paksha
S13,Hingoli ,15,Hemant Patil,Shivsena,Wankhede Subhashrao Bapurao,Indian National Congress,1632,Result Declared,RAJEEV SHANKARRAO SATAV,Indian National Congress
S13,Jalgaon,3,Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,Gulabrao Baburao Deokar,Nationalist Congress Party,383525,Result Declared,A.T. NANA PATIL,Bharatiya Janata Party
S13,Jalna,18,Danve Raosaheb Dadarao,Bharatiya Janata Party,Autade Vilas Keshavrao,Indian National Congress,206798,Result Declared,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party
S13,Kalyan,24,Dr. SHRIKANT EKNATH SHINDE,Shivsena,BABAJI BALARAM PATIL,Nationalist Congress Party,250749,Result Declared,DR.SHRIKANT EKNATH SHINDE,Shivsena
S13,Kolhapur,47,Sanjay Sadashivrao Mandlik,Shivsena,Dhananjay Mahadik,Nationalist Congress Party,33259,Result Declared,DHANANJAY BHIMRAO MAHADIK,Nationalist Congress Party
S13,Latur ,41,Sudhakar Tukaram Shrangare,Bharatiya Janata Party,Kamant Machhindra Gunwantrao,Indian National Congress,253395,Result Declared,DR. SUNIL BALIRAM GAIKWAD,Bharatiya Janata Party
S13,Madha,43,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janata Party,Sanjaymama Vitthalrao Shinde,Nationalist Congress Party,25344,Result Declared,MOHITE PATIL VIJAYSINH SHANKARRAO,Nationalist Congress Party
S13,Maval,33,SHRIRANG APPA CHANDU BARNE,Shivsena,PARTH AJIT PAWAR,Nationalist Congress Party,157397,Result Declared,APPA ALIAS SHRIRANG CHANDU BARNE,Shivsena
S13,Mumbai   South,31,Arvind Ganpat Sawant,Shivsena,Deora Milind Murli,Indian National Congress,128564,Result Declared,ARVIND SAWANT,Shivsena
S13,Mumbai North,26,Gopal Shetty,Bharatiya Janata Party,Urmila Matondkar,Indian National Congress,446582,Result Declared,GOPAL CHINAYYA SHETTY,Bharatiya Janata Party
S13,Mumbai North central,29,POONAM MAHAJAN,Bharatiya Janata Party,DUTT PRIYA SUNIL,Indian National Congress,186771,Result Declared,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,Bharatiya Janata Party
S13,Mumbai North East,28,Manoj Kotak,Bharatiya Janata Party,Patil Sanjay Dina,Nationalist Congress Party,317122,Result Declared,KIRIT  SOMAIYA,Bharatiya Janata Party
S13,Mumbai North West,27,Gajanan Kirtikar,Shivsena,Sanjay Nirupam,Indian National Congress,183028,Result Declared,GAJANAN CHANDRAKANT KIRTIKAR,Shivsena
S13,Mumbai South central,30,Rahul Ramesh Shewale,Shivsena,Eknath M. Gaikwad,Indian National Congress,138180,Result Declared,RAHUL RAMESH SHEWALE,Shivsena
S13,Nagpur ,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,NANA PATOLE,Indian National Congress,284848,Result Declared,GADKARI NITIN JAIRAM,Bharatiya Janata Party
S13,Nanded,16,Prataprao Patil Chikhalikar,Bharatiya Janata Party,Ashok Shankarrao Chavan,Indian National Congress,81455,Result Declared,ASHOK SHANKARRAO CHAVAN,Indian National Congress
S13,Nandurbar ,1,Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,Adv. K. C. Padavi,Indian National Congress,106905,Result Declared,DR.GAVIT HEENA VIJAYKUMAR,Bharatiya Janata Party
S13,Nashik,21,Godse Hemant Tukaram,Shivsena,Sameer Magan Bhujbal,Nationalist Congress Party,187336,Result Declared,GODSE HEMANT TUKARAM,Shivsena
S13,Osmanabad,40,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shivsena,Ranajagjitsinha Padmasinha Patil,Nationalist Congress Party,234325,Result Declared,GAIKWAD RAVINDRA VISHWANATH,Shivsena
S13,Palghar ,22,Rajendra Dhedya Gavit,Shivsena,Baliram Sukur Jadhav,Bahujan Vikas Aaghadi,239520,Result Declared,ADV. CHINTAMAN NAVASHA WANGA,Bharatiya Janata Party
S13,Parbhani,17,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena,RAJESH UTTAMRAO VITEKAR,Nationalist Congress Party,127155,Result Declared,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena
S13,Pune,34,Girish Bhalchandra Bapat,Bharatiya Janata Party,Mohan Joshi,Indian National Congress,315769,Result Declared,ANIL SHIROLE,Bharatiya Janata Party
S13,Raigad,32,Tatkare Sunil Dattatray,Nationalist Congress Party,Anant Geete,Shivsena,2110,Result Declared,ANANT GEETE,Shivsena
S13,Ramtek ,9,Krupal Balaji Tumane,Shivsena,Kishore Uttamrao Gajbhiye,Indian National Congress,175791,Result Declared,KRUPAL BALAJI TUMANE,Shivsena
S13,Ratnagiri - sindhudurg,46,Vinayak Raut,Shivsena,Nilesh Narayan Rane,"Maharashtra Swabhimaan Paksh,",150051,Result Declared,VINAYAK BHAURAO RAUT,Shivsena
S13,Raver,4,Khadse Raksha Nikhil,Bharatiya Janata Party,Dr.Ulhas Vasudeo Patil,Indian National Congress,318068,Result Declared,KHADASE RAKSHA NIKHIL,Bharatiya Janata Party
S13,Sangli,44,Sanjaykaka Patil,Bharatiya Janata Party,Vishal Prakashbapu Patil,Swabhimani Paksha,239292,Result Declared,SANJAYKAKA PATIL,Bharatiya Janata Party
S13,Satara,45,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,Nationalist Congress Party,NARENDRA ANNASAHEB PATIL,Shivsena,366594,Result Declared,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,Nationalist Congress Party
S13,Shirdi,38,SADASHIV KISAN LOKHANDE,Shivsena,KAMBLE BHAUSAHEB MALHARI,Indian National Congress,199922,Result Declared,LOKHANDE SADASHIV KISAN,Shivsena
S13,Shirur,36,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,Adhalrao Shivaji Dattatrey,Shivsena,301814,Result Declared,ADHALRAO SHIVAJI DATTATREY,Shivsena
S13,Solapur ,42,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,Bharatiya Janata Party,SHINDE SUSHILKUMAR SAMBHAJIRAO,Indian National Congress,149674,Result Declared,SHARAD BANSODE,Bharatiya Janata Party
S13,Thane,25,RAJAN BABURAO VICHARE,Shivsena,ANAND PRAKASH PARANJPE,Nationalist Congress Party,281299,Result Declared,VICHARE RAJAN BABURAO,Shivsena
S13,Wardha,8,Ramdas Chandrabhanji Tadas,Bharatiya Janata Party,Charulata Rao Tokas,Indian National Congress,215783,Result Declared,RAMDAS CHANDRABHANJI TADAS,Bharatiya Janata Party
S13,Yavatmal-Washim,14,Bhavana Pundlikrao Gawali,Shivsena,Thakre Manikrao Govindrao,Indian National Congress,93816,Result Declared,GAWALI BHAVANA PUNDLIKRAO,Shivsena
S18,Jajpur ,8,SARMISTHA SETHI,Biju Janata Dal,AMIYA KANTA MALLICK,Bharatiya Janata Party,320271,Result Declared,RITA TARAI,Biju Janata Dal
S18,Kalahandi,11,BASANTA KUMAR PANDA,Bharatiya Janata Party,PUSPENDRA SINGH DEO,Biju Janata Dal,56347,Result Declared,ARKA KESHARI DEO,Biju Janata Dal
S18,Kandhamal,13,ACHYUTANANDA SAMANTA,Biju Janata Dal,Mahameghabahan Aira Kharabela Swain,Bharatiya Janata Party,181017,Result Declared,HEMENDRA CHANDRA SINGH,Biju Janata Dal
S18,Kendrapara ,15,Anubhav Mohanty,Biju Janata Dal,BAIJAYANT PANDA,Bharatiya Janata Party,209300,Result Declared,BAIJAYANT PANDA,Biju Janata Dal
S18,Keonjhar ,4,Chandrani Murmu,Biju Janata Dal,Ananta Nayak,Bharatiya Janata Party,157317,Result Declared,SAKUNTALA LAGURI,Biju Janata Dal
S18,Koraput ,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,KAUSALYA HIKAKA,Biju Janata Dal,19328,Result Declared,JHINA HIKAKA,Biju Janata Dal
S18,Mayurbhanj ,5,BISHWESWAR TUDU,Bharatiya Janata Party,DR DEBASHIS MARNDI,Biju Janata Dal,122866,Result Declared,RAMA CHANDRA HANSDAH,Biju Janata Dal
S18,Nabarangpur ,12,RAMESH CHANDRA MAJHI,Biju Janata Dal,PRADEEP KUMAR MAJHI,Indian National Congress,2042,Result Declared,BALABHADRA MAJHI,Biju Janata Dal
S18,Puri,17,PINAKI MISRA,Biju Janata Dal,Dr Sambit Patra,Bharatiya Janata Party,263361,Result Declared,PINAKI MISRA,Biju Janata Dal
S18,Sambalpur,3,NITESH GANGA DEB,Bharatiya Janata Party,NALINI KANTA PRADHAN,Biju Janata Dal,30576,Result Declared,NAGENDRA KUMAR PRADHAN,Biju Janata Dal
S18,Sundargarh ,2,Jual Oram,Bharatiya Janata Party,Sunita Biswal,Biju Janata Dal,18829,Result Declared,JUAL @ JUEL ORAM,Bharatiya Janata Party
S19,Ludhiana,7,RAVNEET SINGH BITTU,Indian National Congress,SIMARJEET SINGH BAINS,Lok Insaaf Party,19709,Result Declared,RAVNEET SINGH BITTU,Indian National Congress
S19,Patiala,13,Preneet Kaur,Indian National Congress,Surjit Singh Rakhra,Shiromani Akali Dal,20942,Result Declared,DR. DHARAM VIRA GANDHI,Aam Aadmi Party
S19,Sangrur,12,BHAGWANT MANN,Aam Aadmi Party,KEWAL SINGH DHILLON,Indian National Congress,211721,Result Declared,BHAGWANT MANN,Aam Aadmi Party
S20,Ganganagar,1,NIHAL CHAND,Bharatiya Janata Party,BHARAT RAM MEGHWAL,Indian National Congress,291741,Result Declared,NIHALCHAND,Bharatiya Janata Party
S20,Jaipur,7,Ramcharan Bohra,Bharatiya Janata Party,Jyoti Khandelwal,Indian National Congress,539345,Result Declared,RAMCHARAN BOHARA,Bharatiya Janata Party
S20,Jaipur Rural,6,COL. RAJYAVARDHAN RATHORE,Bharatiya Janata Party,KRISHNA POONIA,Indian National Congress,332896,Result Declared,RAJYAVARDHAN SINGH RATHORE ,Bharatiya Janata Party
S20,Jalore,18,Devaji Patel,Bharatiya Janata Party,Ratan Devasi,Indian National Congress,381145,Result Declared,DEVJI PATEL ,Bharatiya Janata Party
S20,JHALAWAR-BARAN,25,DUSHYANT SINGH,Bharatiya Janata Party,PRAMOD SHARMA,Indian National Congress,281546,Result Declared,DUSHYANT SINGH,Bharatiya Janata Party
S20,Jhunjhunu,4,NARENDRA KUMAR,Bharatiya Janata Party,SHARWAN KUMAR S/O GOKAL RAM,Indian National Congress,233835,Result Declared,SANTOSH AHLAWAT,Bharatiya Janata Party
S20,Jodhpur,16,Gajendra Singh Shekhawat,Bharatiya Janata Party,Vaibhav Gehlot,Indian National Congress,410051,Result Declared,GAJENDRASINGH SHEKHAWAT ,Bharatiya Janata Party
S20,KARAULI-DHOLPUR,10,MANOJ RAJORIA,Bharatiya Janata Party,SANJAY KUMAR,Indian National Congress,27216,Result Declared,MANOJ RAJORIYA,Bharatiya Janata Party
S20,Kota,24,OM BIRLA,Bharatiya Janata Party,RAMNARAIN MEENA,Indian National Congress,200782,Result Declared,OM BIRLA ,Bharatiya Janata Party
S20,Nagaur,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,DR. JYOTI MIRDHA,Indian National Congress,75218,Result Declared,C R CHOUDHARY,Bharatiya Janata Party
S20,Pali,15,P. P. CHAUDHARY,Bharatiya Janata Party,BADRIRAM JAKHAR,Indian National Congress,399039,Result Declared,P P CHAUDHARY,Bharatiya Janata Party
S20,Rajsamand,22,Diya Kumari,Bharatiya Janata Party,Devkinandan (Kaka),Indian National Congress,395705,Result Declared,HARIOM SINGH RATHORE,Bharatiya Janata Party
S20,Sikar,5,Sumedhanand Saraswati,Bharatiya Janata Party,Subhash Maharia,Indian National Congress,239196,Result Declared,SUMEDHANAND SARASWATI ,Bharatiya Janata Party
S20,TONK-SAWAI MADHOPUR,12,Sukhbir Singh Jaunapuria,Bharatiya Janata Party,Namonarayan,Indian National Congress,135506,Result Declared,SUKHBIR SINGH JAUNAPURIA ,Bharatiya Janata Party
S20,Udaipur,19,ARJUNLAL MEENA,Bharatiya Janata Party,RAGHUVIR SINGH MEENA,Indian National Congress,236762,Result Declared,ARJUNLAL MEENA ,Bharatiya Janata Party
S22,Erode,17,GANESHAMURTHI A,Dravida Munnetra Kazhagam,MANIMARAN G,All India Anna Dravida Munnetra Kazhagam,211563,Result Declared,SELVAKUMARA CHINNAYAN S,All India Anna Dravida Munnetra Kazhagam
S22,Kallakurichi,14,Gautham Sigamani Pon,Dravida Munnetra Kazhagam,Sudhish L K,Desiya Murpokku Dravida Kazhagam,223507,Result Declared,KAMARAJ. K,All India Anna Dravida Munnetra Kazhagam
S22,Kancheepuram ,6,Selvam.G,Dravida Munnetra Kazhagam,Maragatham K,All India Anna Dravida Munnetra Kazhagam,146866,Result Declared,MARAGATHAM  K,All India Anna Dravida Munnetra Kazhagam
S22,Kanniyakumari,39,Vasanthakumar. H,Indian National Congress,RADHAKRISHNAN. P,Bharatiya Janata Party,128662,Result Declared,RADHAKRISHNAN P.,Bharatiya Janata Party
S22,Karur,23,Jothimani S,Indian National Congress,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,195247,Result Declared,"THAMBIDURAI,M.",All India Anna Dravida Munnetra Kazhagam
S22,Krishnagiri,9,Dr.A.CHELLAKUMAR,Indian National Congress,K.P.MUNUSAMY,All India Anna Dravida Munnetra Kazhagam,206591,Result Declared,ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam
S22,Madurai,32,VENKATESAN S,Communist Party of India  (Marxist),RAJ SATYEN V.V.R,All India Anna Dravida Munnetra Kazhagam,199424,Result Declared,R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam
S22,Mayiladuthurai,28,RAMALINGAM. S,Dravida Munnetra Kazhagam,ASAIMANI. S,All India Anna Dravida Munnetra Kazhagam,277050,Result Declared,BHARATHI MOHAN R.K,All India Anna Dravida Munnetra Kazhagam
S22,Nagapattinam ,29,SELVARAJ M,Communist Party of India,SARAVANAN M,All India Anna Dravida Munnetra Kazhagam,106079,Result Declared,GOPAL. DR. K,All India Anna Dravida Munnetra Kazhagam
S22,Namakkal,16,CHINRAJ A.K.P,Dravida Munnetra Kazhagam,KALIAPPAN P,All India Anna Dravida Munnetra Kazhagam,294374,Result Declared,SUNDARAM P.R,All India Anna Dravida Munnetra Kazhagam
S22,Nilgiris ,19,"RAJA, A.",Dravida Munnetra Kazhagam,"THIYAGARAJAN, M.",All India Anna Dravida Munnetra Kazhagam,104940,Result Declared,"GOPALAKRISHNAN, C.",All India Anna Dravida Munnetra Kazhagam
S22,Perambalur,25,"Dr.PAARIVENDHAR, T. R",Dravida Munnetra Kazhagam,"SIVAPATHY, N.R",All India Anna Dravida Munnetra Kazhagam,213048,Result Declared,"MARUTHARAJAA, R.P.",All India Anna Dravida Munnetra Kazhagam
S22,Pollachi,21,SHANMUGA SUNDARAM. K,Dravida Munnetra Kazhagam,MAHENDRAN. C,All India Anna Dravida Munnetra Kazhagam,140974,Result Declared,MAHENDRAN.C,All India Anna Dravida Munnetra Kazhagam
S22,Ramanathapuram,35,K. NAVASKANI,Indian Union Muslim League,NAINAR NAGENTHRAN,Bharatiya Janata Party,119324,Result Declared,ANWAR RAAJHAA. A ,All India Anna Dravida Munnetra Kazhagam
S22,Salem,15,PARTHIBAN.S.R,Dravida Munnetra Kazhagam,SARAVANAN.K.R.S,All India Anna Dravida Munnetra Kazhagam,267610,Result Declared,PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam
S22,Sivaganga,31,KARTI P CHIDAMBARAM,Indian National Congress,H.RAJA,Bharatiya Janata Party,229385,Result Declared,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam
S22,Sriperumbudur,5,Baalu.T.R.,Dravida Munnetra Kazhagam,Vaithilingam A,Pattali Makkal Katchi,102646,Result Declared,"RAMACHANDRAN, K.N. THIRU",All India Anna Dravida Munnetra Kazhagam
